conversation_id,conversation,cluster,intent,reason
1,"Customer: @115858 @AppleSupport @1542
Bug Alert! Upon selecting message option from call log only opens up msg app but not the chat for that num
Customer: @115858 @AppleSupport @1542 So one has to go back to call log. Click that message icon again and then a chat for that particular number opens up.
AppleSupport: @123491 Thanks for bringing this to our attention. Can you tell us which iOS version this is occurring on please?
Customer: @AppleSupport It has been happening since iOS 11 came out. I hoped that it would be fixed in further updates. I’m using iOS 11.1 now on iPhone 6s.
Customer: @AppleSupport Basically for a chat to be opened from call log, the message app should be opened/running in background. Otherwise, it takes twice.
AppleSupport: @123491 We'd like to take a closer look at what's happening. Send us a DM and we'll meet up with you there. https://t.co/GDrqU22YpT",0,MESSAGE_NOTIFICATION_PROBLEM,"Customers are reporting issues with receiving or displaying notifications for text messages and other apps, often citing specific iOS versions as the cause."
2,"AppleSupport: @450019 Let us know which iOS version you're running in DM, and we'll help: https://t.co/GDrqU22YpT",18,IOS_VERSION_INQUIRY,All conversations involve support agents requesting the customer's current iOS version and device model to begin troubleshooting.
3,"Customer: @AppleSupport Since High Sierra, 3 finger trackpad gestures do NOTHING. Enabled in System Preferences. 15"" mid 2014 unibody MacBook pro 2.5 GHz i7
AppleSupport: @669598 You came to the right place. We'll do what we can to get all your gestures working. Do two-finger gestures work without issue?
Customer: @AppleSupport Gestures of 2 fingers or fewer are ok!
AppleSupport: @669598 Have you tested this in multiple apps? Or is this happening in one app or Finder in particular?
Customer: @AppleSupport No success in any app. My primary use is the triple-down for App Exposé.
AppleSupport: @669598 Got it. Let's see if you are unable to use three finger gestures in a test user: https://t.co/yoThHdqdHe

Keep us posted.",17,MACBOOK_GENERAL_ISSUE,"All conversations involve customers reporting unspecified technical problems or malfunctions with their Mac or MacBook devices, prompting support to request further details via DM."
4,"Customer: I hate @AppleSupport so much! Won't let me install the new iOS so I can get a new phone... 🙄🙄
AppleSupport: @533557 To clarify, are you getting an error when you attempt to install? We'd like to know more to help. DM us and we'll continue. https://t.co/GDrqU22YpT",10,IOS_UPDATE_PROBLEM,"All customers are reporting issues, bugs, or dissatisfaction specifically related to recent iOS software updates on their devices."
5,"Customer: @AppleSupport I broke my iPhone 7+ camera lens! How much will it me to fix it?!
AppleSupport: @570598 Let's look into your options so you can take great pics again. Please send us a DM with the current country you're in. https://t.co/GDrqU22YpT",7,PHOTOS_DISAPPEARED,"Customers are reporting that their photos have vanished, are missing, or are not loading from their device's camera roll or photo library."
6,"AppleSupport: @343068 Hey, we can look into this together. Which device are you using and what's the iOS device?
Customer: @AppleSupport I have the iPhone 7 Plus and it is iOS 11.0.3
AppleSupport: @343068 With Live Photos turned off in the Camera app, Settings &gt; Camera &gt; Preserve Settings. That'll keep it off.
Customer: @AppleSupport I have already tried that, but I will try it again.
AppleSupport: @343068 Perfect. Please let us know how it goes.
Customer: @AppleSupport My Live Photo’s are still continuing to turn itself back on.
AppleSupport: @343068 We appreciate the update. Let's continue in DM together to look into this further: https://t.co/GDrqU22YpT",7,PHOTOS_DISAPPEARED,"Customers are reporting that their photos have vanished, are missing, or are not loading from their device's camera roll or photo library."
7,"Customer: HELP! my iphone 5 updated last night and now it has a mind of it's own and randomly sends messages or tweets mid typing. What do I do. #help #apple #iphone @AppleSupport
AppleSupport: @744415 We'd like to look into what's happening with your iPhone 5. Which update was installed? This is available in Settings &gt; General &gt; About. It sounds like the issue may be with the keyboard, have you noticed any issues when typing in Notes or Safari?
Customer: @AppleSupport It says software is up-to date iOS 10.3.3
I didn't do it when I sent an email, and I haven't yet tried safari.
And yes the keyboard is going crazy, not just sending but adding letters I didn't type, and I will press delete and it types something else
AppleSupport: @744415 Got it. Any updates for apps in the App Store &gt; Updates? This ensures Twitter doesn't have an update available.
Customer: @AppleSupport It's the whole touch phone. I have just had trouble putting min pin in, or even swiping to shut down.
AppleSupport: @744415 Okay, thanks. Do you have a case or screen protector on the phone?
Customer: @AppleSupport Yes it was placed on by apple. 
Sometimes its working fine and others its just going crazy
AppleSupport: @744415 Understood. We'll want to test without the case or screen protector. DM us with the results. https://t.co/GDrqU22YpT",0,MESSAGE_NOTIFICATION_PROBLEM,"Customers are reporting issues with receiving or displaying notifications for text messages and other apps, often citing specific iOS versions as the cause."
8,"Customer: This is so bad @AppleSupport ! #Siri should be able to greet ""good morning"".. this is quite basic! Why didn't you teach wishing ""good morning"" ??? https://t.co/orKtoFfZZv
AppleSupport: @821253 That's curious. Let's check it out. Can you tell us the iPhone model and iOS version of the device? Let's get started in DM. https://t.co/GDrqU22YpT
Customer: @AppleSupport Thanks for the reply.. Have messaged you! Its a MacBook",1,IPHONE_HARDWARE_FAILURE,"Customers are reporting that their iPhones are not working, have crashed, or have hardware defects, and are requesting repairs, replacements, or refunds."
9,"Customer: what is happening to my phone 6s? i have been using it for an hour and then suddenly all apps kick me out when i use them. @AppleSupport @115858
AppleSupport: @237475 We'd love to help out. Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version. 

Also, are you getting any error messages?
Customer: @AppleSupport The latest os 11.1.2. No errors, just black screen and a loading icon then i am back to the home page. I tried installing the apps after deleting them and restarted the device a few times. The same thing happened even when i use data and turned off wifi.
Customer: @AppleSupport My problem was on 40% when the problem started. I turned off the device for about 15 mins, and now that it is on, the problem has not occured again. I am using the phone right now. What could be the cause of this issue?
Customer: @AppleSupport Wait, i meant the battery was at 40%.
AppleSupport: @237475 We'd like to look into this further. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT",5,IOS_11_FREEZE_PROBLEM,"All customers report that their iPhones are freezing, crashing, or becoming unresponsive specifically after updating to iOS 11."
10,"Customer: Heads up if anyone gets this email it’s a scam @AppleSupport @115858 https://t.co/1IorxRKm87
AppleSupport: @670600 We have a great resource on how to avoid and report emails like this:  https://t.co/LNMCdqt6fD",8,REQUEST_HUMAN_CONTACT,"Customers are primarily seeking direct communication channels, such as phone numbers or emails, to speak with a representative or escalate their issues."
11,"Customer: WHY IS MY “I️” SHOWING UP AS A QUESTION MARK IN A BOX???? Grrrrrrr @AppleSupport
AppleSupport: @477121 Can you let us know in DM when and where this is happening? We'll follow up with you there. https://t.co/GDrqU22YpT",15,KEYBOARD_TYPING_GLITCH,Customers are reporting a specific bug where typing the letter 'I' results in incorrect characters or formatting issues on their devices.
12,"Customer: My voicemail keeps saying it’s full but I have no messages @AppleSupport ... help!
AppleSupport: @201998 We are here for you.  Have you restarted since you got the “full “ message?  
https://t.co/OWRDHWSt4h
Customer: @AppleSupport @4150 yes I have
AppleSupport: @201998 Thanks.  Which iPhone and iOS version are you using?
Customer: @AppleSupport iPhone 6s Plus. I have the IOS 11.0.2
AppleSupport: @201998 Thanks.  Please update to iOS 11.0.3.  With any change to your iPhone, we recommend making sure you have a current backup.
Customer: @AppleSupport will do",0,MESSAGE_NOTIFICATION_PROBLEM,"Customers are reporting issues with receiving or displaying notifications for text messages and other apps, often citing specific iOS versions as the cause."
13,"Customer: Dear @115858 , why is my #iPhoneX in South Korea? 🧐 @AppleSupport
Customer: @115858 @AppleSupport  https://t.co/Yt96EuyiGB
AppleSupport: @470673  We'd like to help.  What country are you located in?  Let's meet in DM to continue. https://t.co/GDrqU22YpT",1,IPHONE_HARDWARE_FAILURE,"Customers are reporting that their iPhones are not working, have crashed, or have hardware defects, and are requesting repairs, replacements, or refunds."
14,"Customer: why are the i’s broken? @AppleSupport
AppleSupport: @462523 We're here for you. DM us the version of the iOS you're running using the link below to get started. https://t.co/GDrqU22YpT",18,IOS_VERSION_INQUIRY,All conversations involve support agents requesting the customer's current iOS version and device model to begin troubleshooting.
15,"Customer: @AppleSupport how do we fix the I auto correct? https://t.co/BMGqvzXgOO
AppleSupport: @490085 We’d love to help. Here is a helpful link. https://t.co/xU1AGHStV6",15,KEYBOARD_TYPING_GLITCH,Customers are reporting a specific bug where typing the letter 'I' results in incorrect characters or formatting issues on their devices.
16,"Customer: So I updated my phone and still see question marks when Pple use the letter “I” Apple I want my fade !!!!!!! @AppleSupport https://t.co/yql2JwTYKm
AppleSupport: @594310 We’re here for you. Try this: https://t.co/xU1AGHStV6 Should it persist, send us a DM to discuss it further. https://t.co/GDrqU22YpT",15,KEYBOARD_TYPING_GLITCH,Customers are reporting a specific bug where typing the letter 'I' results in incorrect characters or formatting issues on their devices.
